SEASON,COLOUR,FLOWER,MONTH
Summer,Purple,Tulip ,1/1/2013
Winter,Purple,Lisianthus,1/6/2013
Spring,Pink,Lily,1/9/2013
Spring,White,Peony ,1/9/2013
Summer,Green,Antherium,1/12/2013
Summer,Orange,Lily,1/1/2014
Summer,Orange,Rose,1/1/2014
Winter,Purple,Phalaenopsis Orchid,1/6/2014
Winter,Purple,Rose,1/6/2014
Winter,White,Lisianthus,1/8/2014
Winter,White,Phalaenopsis Orchid,1/8/2014
Spring,Pink,Lisianthus,1/9/2014
Spring,Pink,Poppy,1/9/2015
Spring,White,Ranunculi,1/9/2016
Spring,White,Rose,1/9/2014
Summer,Blue,Scabiosa,1/12/2014
Summer,Green,Amaranthus,1/12/2014
Summer,Orange,Singapore Orchid,1/1/2015
Autumn,Blue,Delphinium,1/3/2015
Autumn,Blue,Singapore Orchids,1/3/2015
Autumn,Green,Gymea,1/3/2015
Autumn,Green,Hypericum Berry,1/3/2015
Autumn,Green,Kale ,1/3/2015
Autumn,Green,Molluca Balm,1/3/2015
Autumn,Green,Rose,1/3/2015
Autumn,Yellow,Freesia,1/3/2015
Autumn,Yellow,Gerbera,1/3/2015
Autumn,Yellow,Singapore Orchid,1/3/2015
Autumn,Yellow,Snap Dragon,1/3/2015
Autumn,Pink,Chrysanthemum,1/4/2015
Autumn,Pink,Dahlia,1/4/2015
Autumn,Pink,David Austin Roses,1/4/2015
Autumn,Pink,Freesia,1/4/2015
Autumn,Pink,Gerbera,1/4/2015
Autumn,Purple,Dahlia,1/5/2015
Autumn,Purple,Delphinium,1/5/2015
Autumn,Purple,Gerbera,1/5/2015
Autumn,Purple,Gladioli,1/5/2015
Autumn,Purple,Hyacinths,1/5/2015
Autumn,Purple,Singapore Orchids,1/5/2015
Autumn,Purple,Statice,1/5/2015
Autumn,Purple,Stock ,1/5/2015
Autumn,Purple,Tulip,1/5/2015
Autumn,Red,Gladioli,1/5/2015
Autumn,Red,Gloriosa Lily,1/5/2015
Autumn,Red,Heliconia,1/5/2015
Autumn,Red,Hypericum Berry,1/5/2015
Autumn,Yellow,Aster,1/5/2015
Autumn,Yellow,Calla Lillies,1/5/2015
Autumn,Yellow,Carnation,1/5/2015
